size,algorithm,time_microseconds
100,selectionSort,1992
100,insertionSort,1605
100,heapSort,466
100,stdSort,489
200,selectionSort,6826
200,insertionSort,4613
200,heapSort,1285
200,stdSort,1268
400,selectionSort,29407
400,insertionSort,16644
400,heapSort,3114
400,stdSort,3274
750,selectionSort,98105
750,insertionSort,56812
750,heapSort,6329
750,stdSort,7178
1000,selectionSort,171838
1000,insertionSort,106664
1000,heapSort,9329
1000,stdSort,10073
1500,selectionSort,382866
1500,insertionSort,223518
1500,heapSort,14046
1500,stdSort,15969
2000,selectionSort,657515
2000,insertionSort,381481
2000,heapSort,19729
2000,stdSort,22045
3000,selectionSort,1480711
3000,insertionSort,869711
3000,heapSort,30646
3000,stdSort,34227
5000,selectionSort,4149226
5000,insertionSort,2661362
5000,heapSort,106205
5000,stdSort,114594
7500,selectionSort,17853117
7500,insertionSort,10321126
7500,heapSort,171234
7500,stdSort,182686
10000,selectionSort,31783265
10000,insertionSort,18437890
10000,heapSort,228623
10000,stdSort,241233
