variant,size,collisions
0,100,0
1,100,1
2,100,2
3,100,4
4,100,3
0,200,5
1,200,13
2,200,14
3,200,15
4,200,9
0,500,62
1,500,36
2,500,72
3,500,76
4,500,64
0,1000,250
1,1000,247
2,1000,248
3,1000,241
4,1000,233
0,2000,904
1,2000,888
2,2000,928
3,2000,849
4,2000,886
0,5000,3609
1,5000,3589
2,5000,3594
3,5000,3666
4,5000,3632
0,10000,8178
1,10000,8136
2,10000,8146
3,10000,8138
4,10000,8147
0,20000,17311
1,20000,17329
2,20000,17334
3,20000,17220
4,20000,17228
0,30000,26341
1,30000,26348
2,30000,26293
3,30000,26406
4,30000,26564
0,40000,35543
1,40000,35439
2,40000,35378
3,40000,35488
4,40000,35442
0,50000,44748
1,50000,44689
2,50000,44470
3,50000,44462
4,50000,44549
0,65000,58274
1,65000,58286
2,65000,58142
3,65000,57928
4,65000,58002
0,80000,71783
1,80000,72018
2,80000,71905
3,80000,71991
4,80000,71830
0,100000,89695
1,100000,90259
2,100000,89969
3,100000,90006
4,100000,89905
0,250000,226277
1,250000,227280
2,250000,227249
3,250000,226300
4,250000,225879
0,500000,453845
1,500000,453572
2,500000,454892
3,500000,454358
4,500000,455792
0,1000000,906946
1,1000000,906681
2,1000000,909484
3,1000000,909530
4,1000000,907236
