run,size,collisions
0,100,0
1,100,0
2,100,0
3,100,0
4,100,1
0,200,0
1,200,1
2,200,0
3,200,0
4,200,1
0,500,3
1,500,1
2,500,3
3,500,2
4,500,6
0,1000,13
1,1000,10
2,1000,10
3,1000,14
4,1000,14
0,2000,46
1,2000,39
2,2000,48
3,2000,48
4,2000,54
0,5000,204
1,5000,202
2,5000,225
3,5000,219
4,5000,216
0,10000,542
1,10000,556
2,10000,548
3,10000,560
4,10000,524
0,20000,1090
1,20000,1079
2,20000,1061
3,20000,1082
4,20000,1092
0,30000,1360
1,30000,1369
2,30000,1355
3,30000,1375
4,30000,1344
0,40000,1473
1,40000,1474
2,40000,1491
3,40000,1507
4,40000,1476
0,50000,1526
1,50000,1525
2,50000,1500
3,50000,1524
4,50000,1521
0,65000,1547
1,65000,1558
2,65000,1548
3,65000,1569
4,65000,1533
0,80000,1542
1,80000,1550
2,80000,1554
3,80000,1561
4,80000,1562
0,100000,1558
1,100000,1561
2,100000,1560
3,100000,1579
4,100000,1569
0,250000,1542
1,250000,1574
2,250000,1568
3,250000,1550
4,250000,1558
0,500000,1578
1,500000,1559
2,500000,1557
3,500000,1578
4,500000,1564
0,1000000,1554
1,1000000,1561
2,1000000,1566
3,1000000,1561
4,1000000,1558
