run,size,algorithm,nanoseconds
0,100,linear_search,34806
0,100,binary_search_tree,672
0,100,red_black_tree,650
0,100,hash_table,736
0,100,multimap,814
1,100,linear_search,10040
1,100,binary_search_tree,462
1,100,red_black_tree,416
1,100,hash_table,432
1,100,multimap,602
2,100,linear_search,10178
2,100,binary_search_tree,452
2,100,red_black_tree,434
2,100,hash_table,454
2,100,multimap,600
3,100,linear_search,10556
3,100,binary_search_tree,464
3,100,red_black_tree,416
3,100,hash_table,452
3,100,multimap,608
4,100,linear_search,10456
4,100,binary_search_tree,778
4,100,red_black_tree,758
4,100,hash_table,758
4,100,multimap,886
0,200,linear_search,19526
0,200,binary_search_tree,486
0,200,red_black_tree,432
0,200,hash_table,502
0,200,multimap,706
1,200,linear_search,20142
1,200,binary_search_tree,522
1,200,red_black_tree,526
1,200,hash_table,514
1,200,multimap,618
2,200,linear_search,19982
2,200,binary_search_tree,448
2,200,red_black_tree,410
2,200,hash_table,410
2,200,multimap,622
3,200,linear_search,20616
3,200,binary_search_tree,508
3,200,red_black_tree,476
3,200,hash_table,484
3,200,multimap,578
4,200,linear_search,20184
4,200,binary_search_tree,528
4,200,red_black_tree,462
4,200,hash_table,504
4,200,multimap,628
0,500,linear_search,49284
0,500,binary_search_tree,506
0,500,red_black_tree,454
0,500,hash_table,402
0,500,multimap,644
1,500,linear_search,49496
1,500,binary_search_tree,518
1,500,red_black_tree,480
1,500,hash_table,424
1,500,multimap,728
2,500,linear_search,49482
2,500,binary_search_tree,492
2,500,red_black_tree,442
2,500,hash_table,494
2,500,multimap,708
3,500,linear_search,49848
3,500,binary_search_tree,586
3,500,red_black_tree,544
3,500,hash_table,454
3,500,multimap,706
4,500,linear_search,49580
4,500,binary_search_tree,552
4,500,red_black_tree,504
4,500,hash_table,522
4,500,multimap,658
0,1000,linear_search,98280
0,1000,binary_search_tree,608
0,1000,red_black_tree,568
0,1000,hash_table,514
0,1000,multimap,800
1,1000,linear_search,100978
1,1000,binary_search_tree,586
