method,sample,mean,stddev,coefficient_variation,chi_square,chi_critical,chi_pass
LCGMix,1,0.507572,0.287953,0.567315,12.4096,19.661,1
LCGMix,2,0.491301,0.290387,0.591057,16.5616,19.661,1
LCGMix,3,0.496905,0.286529,0.576628,6.0064,19.661,1
LCGMix,4,0.502958,0.285984,0.568604,12.1312,19.661,1
LCGMix,5,0.504205,0.289303,0.57378,6.3328,19.661,1
LCGMix,6,0.496651,0.287372,0.57862,19.7152,19.661,0
LCGMix,7,0.494959,0.286997,0.579841,6.712,19.661,1
LCGMix,8,0.499589,0.286394,0.57326,10.9264,19.661,1
LCGMix,9,0.502075,0.290003,0.577608,11.296,19.661,1
LCGMix,10,0.504208,0.291715,0.578561,8.5696,19.661,1
LCGMix,11,0.491762,0.288368,0.586397,11.368,19.661,1
LCGMix,12,0.497344,0.290784,0.584673,13.1824,19.661,1
LCGMix,13,0.506688,0.286462,0.565361,20.488,19.661,0
LCGMix,14,0.493852,0.289564,0.586338,21.7984,19.661,0
LCGMix,15,0.504473,0.287853,0.570602,10.4608,19.661,1
LCGMix,16,0.509376,0.290185,0.569688,17.4064,19.661,1
LCGMix,17,0.497159,0.28926,0.581825,8.5744,19.661,1
LCGMix,18,0.503204,0.285882,0.568123,27.8896,19.661,0
LCGMix,19,0.49981,0.28627,0.572758,9.88,19.661,1
LCGMix,20,0.495836,0.290536,0.585951,14.8768,19.661,1
MiddleSquareWeyl,1,0.501373,0.289686,0.577785,9.3328,19.661,1
MiddleSquareWeyl,2,0.501312,0.28741,0.573315,26.8576,19.661,0
MiddleSquareWeyl,3,0.500453,0.288356,0.576191,7.1248,19.661,1
MiddleSquareWeyl,4,0.499256,0.28877,0.578401,18.4192,19.661,1
MiddleSquareWeyl,5,0.49449,0.286719,0.579829,22.3168,19.661,0
MiddleSquareWeyl,6,0.500424,0.289425,0.57836,10.6288,19.661,1
MiddleSquareWeyl,7,0.497674,0.291016,0.584752,12.5344,19.661,1
MiddleSquareWeyl,8,0.49555,0.289278,0.583751,6.928,19.661,1
MiddleSquareWeyl,9,0.500951,0.287387,0.573682,7.1776,19.661,1
MiddleSquareWeyl,10,0.505281,0.289116,0.572187,14.8768,19.661,1
MiddleSquareWeyl,11,0.499034,0.287447,0.576008,14.2864,19.661,1
MiddleSquareWeyl,12,0.498269,0.286167,0.574322,11.392,19.661,1
MiddleSquareWeyl,13,0.497831,0.286229,0.574953,17.2288,19.661,1
MiddleSquareWeyl,14,0.501255,0.289125,0.576802,7.1824,19.661,1
MiddleSquareWeyl,15,0.494401,0.286008,0.578493,7.9168,19.661,1
MiddleSquareWeyl,16,0.497188,0.28665,0.576543,6.5536,19.661,1
MiddleSquareWeyl,17,0.50131,0.288259,0.575012,9.4144,19.661,1
MiddleSquareWeyl,18,0.499304,0.284699,0.570192,24.496,19.661,0
MiddleSquareWeyl,19,0.503215,0.289694,0.575687,17.6896,19.661,1
MiddleSquareWeyl,20,0.496532,0.287113,0.578237,14.2384,19.661,1
RotateShiftMix,1,0.499162,0.288306,0.577579,5.7136,19.661,1
RotateShiftMix,2,0.502938,0.29056,0.577725,4.5616,19.661,1
RotateShiftMix,3,0.501003,0.290221,0.57928,12.496,19.661,1
RotateShiftMix,4,0.494219,0.287128,0.580973,8.9392,19.661,1
RotateShiftMix,5,0.49645,0.286129,0.576349,12.1456,19.661,1
RotateShiftMix,6,0.493437,0.286756,0.581141,13.1488,19.661,1
RotateShiftMix,7,0.491795,0.286497,0.582555,8.1472,19.661,1
RotateShiftMix,8,0.4982,0.285831,0.573728,15.9952,19.661,1
RotateShiftMix,9,0.497192,0.287592,0.578432,5.0608,19.661,1
RotateShiftMix,10,0.496468,0.286473,0.577023,15.8992,19.661,1
RotateShiftMix,11,0.502933,0.290848,0.578304,15.0304,19.661,1
RotateShiftMix,12,0.502792,0.287077,0.570966,5.968,19.661,1
RotateShiftMix,13,0.500097,0.286352,0.572594,10.816,19.661,1
RotateShiftMix,14,0.501292,0.292204,0.582903,18.28,19.661,1
RotateShiftMix,15,0.499151,0.289991,0.580968,18.5008,19.661,1
RotateShiftMix,16,0.509351,0.287526,0.564494,13.312,19.661,1
RotateShiftMix,17,0.498917,0.28985,0.580957,10.0144,19.661,1
RotateShiftMix,18,0.504144,0.288843,0.572938,9.3424,19.661,1
RotateShiftMix,19,0.49888,0.290417,0.582138,3.8368,19.661,1
RotateShiftMix,20,0.497016,0.28861,0.580685,11.7376,19.661,1
