method,size,microseconds
LCGMix,1000,2.1
MiddleSquareWeyl,1000,3.3
RotateShiftMix,1000,5.3
std_mt19937,1000,10.9
LCGMix,5000,9.7
MiddleSquareWeyl,5000,16
RotateShiftMix,5000,21.5
std_mt19937,5000,37.8
LCGMix,10000,19.4
MiddleSquareWeyl,10000,32.1
RotateShiftMix,10000,42.9
std_mt19937,10000,78
LCGMix,50000,96.2
MiddleSquareWeyl,50000,159.9
RotateShiftMix,50000,214.1
std_mt19937,50000,382
LCGMix,100000,181.6
MiddleSquareWeyl,100000,319.9
RotateShiftMix,100000,440.7
std_mt19937,100000,724.1
LCGMix,250000,744.4
MiddleSquareWeyl,250000,810.5
RotateShiftMix,250000,1081
std_mt19937,250000,1879.7
LCGMix,500000,909.4
MiddleSquareWeyl,500000,1603.6
RotateShiftMix,500000,2177.3
std_mt19937,500000,3652.6
LCGMix,1000000,1867.1
MiddleSquareWeyl,1000000,3560.7
RotateShiftMix,1000000,4586.2
std_mt19937,1000000,7459.5
